Team,Season,GP,W,L,T,OT,P,P%,SA,Goalie GA,EN GA,GA,Svs,Team Sv%,TOI,GAA,GA/GP,SO
Arizona Coyotes,20172018,82,29,41,--,12,70,0.427,"2,642",234,17,251,"2,391",0.905,4999:15,3.01,3.06,5
Boston Bruins,20172018,82,50,20,--,12,112,0.683,"2,399",201,10,211,"2,188",0.912,4982:22,2.54,2.57,4
Buffalo Sabres,20172018,82,25,45,--,12,62,0.378,"2,681",256,22,278,"2,403",0.896,4974:01,3.35,3.39,3
Calgary Flames,20172018,82,37,35,--,10,84,0.512,"2,554",231,12,243,"2,311",0.905,4979:40,2.93,2.96,3
Carolina Hurricanes,20172018,82,36,35,--,11,83,0.506,"2,367",243,10,253,"2,115",0.894,4981:55,3.05,3.09,2
Chicago Blackhawks,20172018,82,33,39,--,10,76,0.463,"2,697",240,14,254,"2,443",0.906,4966:18,3.07,3.1,2
Colorado Avalanche,20172018,82,43,30,--,9,95,0.579,"2,731",225,11,236,"2,495",0.914,4962:11,2.85,2.88,5
Columbus Blue Jackets,20172018,82,45,30,--,7,97,0.591,"2,567",216,10,226,"2,341",0.912,4995:24,2.71,2.76,5
Dallas Stars,20172018,82,42,32,--,8,92,0.561,"2,447",208,14,222,"2,225",0.909,4981:13,2.67,2.71,6
Detroit Red Wings,20172018,82,30,39,--,13,73,0.445,"2,613",244,10,254,"2,359",0.903,4983:50,3.06,3.1,4
Edmonton Oilers,20172018,82,36,40,--,6,78,0.476,"2,634",251,11,262,"2,372",0.901,4976:28,3.16,3.2,1
Florida Panthers,20172018,82,44,30,--,8,96,0.585,"2,838",230,13,243,"2,596",0.915,4972:32,2.93,2.96,7
Los Angeles Kings,20172018,82,45,29,--,8,98,0.598,"2,537",193,9,202,"2,335",0.92,4982:29,2.43,2.46,8
Minnesota Wild,20172018,82,45,26,--,11,101,0.616,"2,569",216,13,229,"2,340",0.911,4978:56,2.76,2.79,6
Montréal Canadiens,20172018,82,29,40,--,13,71,0.433,"2,650",246,12,258,"2,392",0.903,4979:41,3.11,3.15,4
Nashville Predators,20172018,82,53,18,--,11,117,0.713,"2,659",195,9,204,"2,455",0.923,5006:41,2.44,2.49,11
New Jersey Devils,20172018,82,44,29,--,9,97,0.591,"2,616",234,6,240,"2,376",0.908,4989:50,2.89,2.93,2
New York Islanders,20172018,82,35,37,--,10,80,0.488,"2,918",282,11,293,"2,625",0.9,4983:28,3.53,3.57,2
New York Rangers,20172018,82,34,39,--,9,77,0.47,"2,898",248,15,263,"2,635",0.909,4979:30,3.17,3.21,3
Ottawa Senators,20172018,82,28,43,--,11,67,0.409,"2,712",272,12,284,"2,428",0.895,4985:04,3.42,3.46,2
Philadelphia Flyers,20172018,82,42,26,--,14,98,0.598,"2,448",228,8,236,"2,212",0.904,4996:51,2.83,2.88,3
Pittsburgh Penguins,20172018,82,47,29,--,6,100,0.61,"2,553",240,8,248,"2,305",0.903,4966:19,3,3.02,4
San Jose Sharks,20172018,82,45,27,--,10,100,0.61,"2,488",212,14,226,"2,262",0.909,4985:23,2.72,2.76,6
St. Louis Blues,20172018,82,44,32,--,6,94,0.573,"2,438",208,14,222,"2,216",0.909,4966:56,2.68,2.71,4
Tampa Bay Lightning,20172018,82,54,23,--,5,113,0.689,"2,683",227,7,234,"2,449",0.913,4979:36,2.82,2.85,8
Toronto Maple Leafs,20172018,82,49,26,--,7,105,0.64,"2,776",221,9,230,"2,546",0.917,4988:05,2.77,2.8,8
Vancouver Canucks,20172018,82,31,40,--,11,73,0.445,"2,641",242,17,259,"2,383",0.902,4972:59,3.12,3.16,4
Vegas Golden Knights,20172018,82,51,24,--,7,109,0.665,"2,521",218,7,225,"2,297",0.911,4985:41,2.71,2.74,5
Washington Capitals,20172018,82,49,26,--,7,105,0.64,"2,613",226,12,238,"2,375",0.909,4975:06,2.87,2.9,3
Winnipeg Jets,20172018,82,52,20,--,10,114,0.695,"2,613",212,4,216,"2,397",0.917,4982:11,2.6,2.63,7
Anaheim Ducks,20162017,82,46,23,--,13,105,0.64,"2,429",192,5,197,"2,232",0.919,4979:47,2.37,2.4,8
Arizona Coyotes,20162017,82,30,42,--,10,70,0.427,"2,797",246,12,258,"2,539",0.908,4985:47,3.1,3.15,3
Boston Bruins,20162017,82,44,31,--,7,95,0.579,"2,194",201,8,209,"1,985",0.905,4964:07,2.53,2.55,8
Buffalo Sabres,20162017,82,33,37,--,12,78,0.476,"2,813",221,10,231,"2,582",0.918,4984:51,2.78,2.82,3
Calgary Flames,20162017,82,45,33,--,4,94,0.573,"2,354",210,9,219,"2,135",0.907,4973:56,2.64,2.67,5
Carolina Hurricanes,20162017,82,36,31,--,15,87,0.53,"2,320",222,8,230,"2,090",0.901,4993:04,2.76,2.8,3
Chicago Blackhawks,20162017,82,50,23,--,9,109,0.665,"2,574",205,7,212,"2,363",0.918,4979:59,2.55,2.59,4
Colorado Avalanche,20162017,82,22,56,--,4,48,0.293,"2,603",261,15,276,"2,327",0.894,4953:47,3.34,3.37,3
Columbus Blue Jackets,20162017,82,50,24,--,8,108,0.659,"2,489",184,9,193,"2,296",0.922,4969:41,2.33,2.35,8
Dallas Stars,20162017,82,34,37,--,11,79,0.482,"2,439",246,14,260,"2,180",0.894,4960:07,3.15,3.17,3
Detroit Red Wings,20162017,82,33,36,--,13,79,0.482,"2,507",235,9,244,"2,264",0.903,5018:34,2.92,2.98,4
Edmonton Oilers,20162017,82,47,26,--,9,103,0.628,"2,416",199,8,207,"2,210",0.915,4991:05,2.49,2.52,7
Florida Panthers,20162017,82,35,36,--,11,81,0.494,"2,595",220,11,231,"2,364",0.911,5007:26,2.77,2.82,4
Los Angeles Kings,20162017,82,39,35,--,8,86,0.524,"2,120",186,15,201,"1,919",0.905,4978:29,2.42,2.45,9
Minnesota Wild,20162017,82,49,25,--,8,106,0.646,"2,465",199,7,206,"2,259",0.916,4967:23,2.49,2.51,5
Montréal Canadiens,20162017,82,47,26,--,9,103,0.628,"2,429",191,7,198,"2,231",0.918,4987:22,2.38,2.41,5
Nashville Predators,20162017,82,41,29,--,12,94,0.573,"2,472",205,15,220,"2,253",0.911,4985:45,2.65,2.68,4
New Jersey Devils,20162017,82,28,40,--,14,70,0.427,"2,572",228,13,241,"2,331",0.906,4987:36,2.9,2.94,3
New York Islanders,20162017,82,41,29,--,12,94,0.573,"2,616",231,7,238,"2,378",0.909,4978:37,2.87,2.9,5
New York Rangers,20162017,82,48,28,--,6,102,0.622,"2,465",211,5,216,"2,249",0.912,4974:14,2.61,2.63,7
Ottawa Senators,20162017,82,44,28,--,10,98,0.598,"2,467",206,4,210,"2,257",0.915,4993:57,2.52,2.56,10
Philadelphia Flyers,20162017,82,39,33,--,10,88,0.537,"2,334",220,11,231,"2,103",0.901,5007:42,2.77,2.82,5
Pittsburgh Penguins,20162017,82,50,21,--,11,111,0.677,"2,671",221,8,229,"2,442",0.914,4989:50,2.75,2.79,5
San Jose Sharks,20162017,82,46,29,--,7,99,0.604,"2,269",189,11,200,"2,069",0.912,4955:56,2.42,2.44,3
St. Louis Blues,20162017,82,46,29,--,7,99,0.604,"2,327",201,15,216,"2,111",0.907,4964:39,2.61,2.63,8
Tampa Bay Lightning,20162017,82,42,30,--,10,94,0.573,"2,492",213,11,224,"2,268",0.91,4988:08,2.69,2.73,3
Toronto Maple Leafs,20162017,82,40,27,--,15,95,0.579,"2,673",227,7,234,"2,439",0.912,4991:41,2.81,2.85,5
Vancouver Canucks,20162017,82,30,43,--,9,69,0.421,"2,605",225,16,241,"2,366",0.908,4979:33,2.9,2.94,3
Washington Capitals,20162017,82,55,19,--,8,118,0.72,"2,282",170,7,177,"2,105",0.922,4973:09,2.14,2.16,12
Winnipeg Jets,20162017,82,40,35,--,7,87,0.53,"2,546",243,12,255,"2,291",0.9,4964:50,3.08,3.11,5
