Team,Season,GP,W,L,T,OT,P,P%,SA,Goalie GA,EN GA,GA,Svs,Team Sv%,TOI,GAA,GA/GP,SO,ShotsFor,GF,Hits,BkS,GvA,TkA
Anaheim Ducks,20252026,26,16,9,--,1,33,0.635,758,79,5,84,674,0.889,1583:59,3.18,3.23,0,785,94,559,399,408,131
Boston Bruins,20252026,27,15,12,--,0,30,0.556,826,81,5,86,740,0.896,1641:40,3.14,3.19,0,721,81,710,455,446,127
Buffalo Sabres,20252026,26,11,11,--,4,26,0.5,782,78,9,87,695,0.889,1578:20,3.31,3.35,1,748,79,521,422,426,134
Calgary Flames,20252026,27,9,14,--,4,22,0.407,769,74,6,80,689,0.896,1643:52,2.92,2.96,1,789,63,619,420,464,116
Carolina Hurricanes,20252026,25,16,7,--,2,34,0.68,612,64,5,69,543,0.887,1524:08,2.72,2.76,2,831,85,470,284,426,136
Chicago Blackhawks,20252026,25,11,9,--,5,27,0.54,758,71,1,72,686,0.905,1517:59,2.85,2.88,1,629,80,459,325,448,135
Colorado Avalanche,20252026,25,18,1,--,6,42,0.84,659,52,0,52,607,0.921,1520:22,2.05,2.08,3,847,103,466,368,402,120
Columbus Blue Jackets,20252026,26,12,9,--,5,29,0.558,803,81,3,84,719,0.895,1595:39,3.16,3.23,0,789,75,486,367,426,124
Dallas Stars,20252026,26,17,5,--,4,38,0.731,712,66,3,69,643,0.903,1586:17,2.61,2.65,2,675,91,560,426,400,124
Detroit Red Wings,20252026,26,13,11,--,2,28,0.538,685,84,4,88,597,0.872,1581:31,3.34,3.38,0,788,75,518,419,447,108
Edmonton Oilers,20252026,26,11,10,--,5,27,0.519,691,87,6,93,598,0.865,1583:56,3.52,3.58,2,733,81,475,395,437,122
Florida Panthers,20252026,24,12,11,--,1,25,0.521,624,67,9,76,548,0.878,1450:00,3.14,3.17,2,698,74,654,331,358,95
Los Angeles Kings,20252026,25,12,6,--,7,31,0.62,651,63,2,65,586,0.9,1541:12,2.53,2.6,2,718,67,437,342,427,110
Minnesota Wild,20252026,26,14,7,--,5,33,0.635,793,65,6,71,722,0.91,1599:57,2.66,2.73,5,728,74,605,410,395,121
Montréal Canadiens,20252026,24,13,8,--,3,29,0.604,661,81,4,85,576,0.871,1463:19,3.49,3.54,0,595,82,567,438,360,116
